2024/06/04 11:18:52.052 => OpenSerial: Com=11 BaudRate=256000, Success=1
2024/06/04 11:18:54.101 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) failed with:A001
2024/06/04 11:18:56.160 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) failed with:A001
2024/06/04 11:18:58.370 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) failed with:A001
2024/06/04 11:19:00.429 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) failed with:A001
2024/06/04 11:19:06.408 => Cancel Read Data
2024/06/04 11:19:06.840 => OpenSerial: Com=11 BaudRate=256000, Success=1
2024/06/04 11:19:08.855 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) failed with:A001
2024/06/04 11:19:10.912 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) failed with:A001
2024/06/04 11:19:13.073 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) failed with:A001
2024/06/04 11:19:15.114 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) failed with:A001
2024/06/04 11:19:18.554 => Cancel Read Data
2024/06/04 11:19:41.232 => OpenSerial: Com=11 BaudRate=256000, Success=1
2024/06/04 11:19:43.254 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) failed with:A001
2024/06/04 11:19:45.304 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) failed with:A001
2024/06/04 11:19:47.503 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) failed with:A001
2024/06/04 11:19:49.547 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) failed with:A001
2024/06/04 11:20:04.182 => Cancel Read Data
2024/06/04 11:20:15.850 => OpenSerial: Com=11 BaudRate=256000, Success=1
2024/06/04 11:20:17.850 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) failed with:A001
2024/06/04 11:22:08.228 => OpenSerial: Com=11 BaudRate=256000, Success=1
2024/06/04 11:22:08.232 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) failed with:A002
2024/06/04 11:22:08.232 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) failed with:A002
2024/06/04 11:22:08.391 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/06/04 11:22:08.391 => protocol version = 1, send_recv buffer size = 64
2024/06/04 11:22:08.399 => CRadarProtocolDevice::UpdateVersion: CMDID(0x0000) Success
2024/06/04 11:22:08.399 => GetVersion Return: v1.4.4_32772.0
2024/06/04 11:22:15.187 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/06/04 11:22:15.187 => protocol version = 1, send_recv buffer size = 64
2024/06/04 11:22:15.341 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/06/04 11:22:15.341 => protocol version = 1, send_recv buffer size = 64
2024/06/04 11:22:15.885 => CRadarProtocolDevice::SendCommand: CMDID(0x0063) Success
2024/06/04 11:22:15.891 => CRadarProtocolDevice::CloseCmdMode: CMDID(0x00FE) Success
2024/06/04 11:22:15.901 => thread create success, thread handle=0x000006ac, id=25536, name=ABDData
2024/06/04 11:22:15.901 => thread information, name=ABDData, tid=25536(0x000063c0)
2024/06/04 11:22:15.932 => State=2, M_D=087, M_S=000, ML_D=087, ML_S=100, R_D=086
2024/06/04 11:22:16.032 => State=2, M_D=087, M_S=000, ML_D=087, ML_S=100, R_D=084
2024/06/04 11:22:16.131 => State=2, M_D=087, M_S=000, ML_D=087, ML_S=100, R_D=082
2024/06/04 11:22:16.232 => State=3, M_D=134, M_S=052, ML_D=087, ML_S=100, R_D=080
2024/06/04 11:22:16.332 => State=3, M_D=068, M_S=051, ML_D=134, ML_S=100, R_D=084
2024/06/04 11:22:16.432 => State=2, M_D=068, M_S=000, ML_D=068, ML_S=100, R_D=080
2024/06/04 11:22:16.531 => State=3, M_D=030, M_S=079, ML_D=068, ML_S=100, R_D=076
2024/06/04 11:22:16.632 => State=3, M_D=038, M_S=100, ML_D=030, ML_S=100, R_D=068
2024/06/04 11:22:16.731 => State=3, M_D=075, M_S=100, ML_D=038, ML_S=100, R_D=062
2024/06/04 11:22:16.831 => State=3, M_D=065, M_S=088, ML_D=075, ML_S=100, R_D=062
2024/06/04 11:22:16.931 => State=3, M_D=137, M_S=100, ML_D=065, ML_S=100, R_D=061
2024/06/04 11:22:17.031 => State=3, M_D=108, M_S=089, ML_D=137, ML_S=100, R_D=065
2024/06/04 11:22:17.131 => State=3, M_D=151, M_S=100, ML_D=108, ML_S=100, R_D=073
2024/06/04 11:22:17.231 => State=2, M_D=030, M_S=100, ML_D=151, ML_S=100, R_D=065
2024/06/04 11:22:17.331 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=058
2024/06/04 11:22:17.431 => State=2, M_D=154, M_S=100, ML_D=030, ML_S=100, R_D=068
2024/06/04 11:22:17.531 => State=3, M_D=075, M_S=100, ML_D=154, ML_S=100, R_D=067
2024/06/04 11:22:17.631 => State=3, M_D=068, M_S=076, ML_D=075, ML_S=100, R_D=065
2024/06/04 11:22:17.731 => State=3, M_D=145, M_S=100, ML_D=068, ML_S=100, R_D=073
2024/06/04 11:22:17.831 => State=3, M_D=155, M_S=100, ML_D=145, ML_S=100, R_D=081
2024/06/04 11:22:17.931 => State=3, M_D=145, M_S=100, ML_D=155, ML_S=100, R_D=087
2024/06/04 11:22:18.031 => State=2, M_D=030, M_S=100, ML_D=145, ML_S=100, R_D=077
2024/06/04 11:22:18.131 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=069
2024/06/04 11:22:18.231 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=062
2024/06/04 11:22:18.331 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=056
2024/06/04 11:22:18.431 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=050
2024/06/04 11:22:18.531 => State=3, M_D=042, M_S=100, ML_D=030, ML_S=100, R_D=047
2024/06/04 11:22:18.632 => State=3, M_D=042, M_S=100, ML_D=042, ML_S=100, R_D=044
2024/06/04 11:22:18.730 => State=3, M_D=030, M_S=100, ML_D=042, ML_S=100, R_D=040
2024/06/04 11:22:18.831 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=036
2024/06/04 11:22:18.931 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=033
2024/06/04 11:22:19.031 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=030
2024/06/04 11:22:19.131 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=000
