2024/06/07 15:41:02.304 => OpenSerial: Com=11 BaudRate=256000, Success=1
2024/06/07 15:41:02.311 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/06/07 15:41:02.311 => protocol version = 1, send_recv buffer size = 64
2024/06/07 15:41:02.466 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/06/07 15:41:02.466 => protocol version = 1, send_recv buffer size = 64
2024/06/07 15:41:02.472 => CRadarProtocolDevice::UpdateVersion: CMDID(0x0000) Success
2024/06/07 15:41:02.472 => GetVersion Return: v1.4.4_32772.0
2024/06/07 15:41:07.053 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/06/07 15:41:07.053 => protocol version = 1, send_recv buffer size = 64
2024/06/07 15:41:07.213 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/06/07 15:41:07.213 => protocol version = 1, send_recv buffer size = 64
2024/06/07 15:41:07.754 => CRadarProtocolDevice::SendCommand: CMDID(0x0062) Success
2024/06/07 15:41:07.760 => CRadarProtocolDevice::CloseCmdMode: CMDID(0x00FE) Success
2024/06/07 15:41:07.770 => thread create success, thread handle=0x00000610, id=12632, name=ABDData
2024/06/07 15:41:07.771 => thread information, name=ABDData, tid=12632(0x00003158)
2024/06/07 15:41:07.833 => State=1, M_D=065, M_S=100, ML_D=000, ML_S=000, R_D=030
2024/06/07 15:41:07.934 => State=1, M_D=061, M_S=100, ML_D=000, ML_S=000, R_D=032
2024/06/07 15:41:08.033 => State=1, M_D=044, M_S=100, ML_D=000, ML_S=000, R_D=031
2024/06/07 15:41:08.133 => State=1, M_D=049, M_S=100, ML_D=000, ML_S=000, R_D=031
2024/06/07 15:41:08.234 => State=1, M_D=059, M_S=100, ML_D=000, ML_S=000, R_D=032
2024/06/07 15:41:08.334 => State=1, M_D=043, M_S=100, ML_D=000, ML_S=000, R_D=031
2024/06/07 15:41:08.434 => State=1, M_D=046, M_S=100, ML_D=000, ML_S=000, R_D=030
2024/06/07 15:41:08.534 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/07 15:41:08.633 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/07 15:41:08.733 => State=1, M_D=045, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/07 15:41:08.834 => State=1, M_D=058, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/07 15:41:08.933 => State=1, M_D=043, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/07 15:41:09.033 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/07 15:41:09.134 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/07 15:41:09.234 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/07 15:41:09.334 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/07 15:41:09.434 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/07 15:41:09.533 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
