2024/06/09 11:08:18.532 => OpenSerial: Com=11 BaudRate=256000, Success=1
2024/06/09 11:08:18.539 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/06/09 11:08:18.539 => protocol version = 1, send_recv buffer size = 64
2024/06/09 11:08:18.702 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/06/09 11:08:18.702 => protocol version = 1, send_recv buffer size = 64
2024/06/09 11:08:18.709 => CRadarProtocolDevice::UpdateVersion: CMDID(0x0000) Success
2024/06/09 11:08:18.709 => GetVersion Return: v1.4.4_32772.0
2024/06/09 11:08:19.565 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/06/09 11:08:19.565 => protocol version = 1, send_recv buffer size = 64
2024/06/09 11:08:19.722 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/06/09 11:08:19.722 => protocol version = 1, send_recv buffer size = 64
2024/06/09 11:08:20.264 => CRadarProtocolDevice::SendCommand: CMDID(0x0062) Success
2024/06/09 11:08:20.271 => CRadarProtocolDevice::CloseCmdMode: CMDID(0x00FE) Success
2024/06/09 11:08:20.280 => thread create success, thread handle=0x00000604, id=10936, name=ABDData
2024/06/09 11:08:20.281 => thread information, name=ABDData, tid=10936(0x00002ab8)
2024/06/09 11:08:20.295 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/09 11:08:20.395 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/09 11:08:20.495 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/09 11:08:20.596 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/09 11:08:20.696 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/09 11:08:20.795 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/09 11:08:20.896 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/09 11:08:20.995 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/09 11:08:21.096 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/09 11:08:21.195 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/09 11:08:21.295 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/09 11:08:21.396 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/09 11:08:21.495 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/09 11:08:21.595 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/09 11:08:21.696 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/09 11:08:21.795 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/09 11:08:21.896 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/09 11:08:21.996 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/09 11:08:22.096 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/09 11:08:22.195 => State=0, M_D=049, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/09 11:08:22.295 => State=1, M_D=039, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/09 11:08:22.395 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/09 11:08:22.495 => State=1, M_D=049, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/09 11:08:22.596 => State=1, M_D=045, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/09 11:08:22.696 => State=1, M_D=030, M_S=100, ML_D=000, ML_S=000, R_D=000
2024/06/09 11:08:22.796 => State=2, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/09 11:08:22.896 => State=2, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/09 11:08:22.996 => State=2, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/09 11:08:23.095 => State=2, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
