2024/06/09 16:21:21.070 => Open \\.\COM7 failed:5
2024/06/09 16:21:21.070 => OpenSerial: Com=7 BaudRate=256000, Success=0
2024/06/09 16:21:23.296 => OpenSerial: Com=11 BaudRate=256000, Success=1
2024/06/09 16:21:23.302 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/06/09 16:21:23.302 => protocol version = 1, send_recv buffer size = 64
2024/06/09 16:21:23.466 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/06/09 16:21:23.466 => protocol version = 1, send_recv buffer size = 64
2024/06/09 16:21:23.473 => CRadarProtocolDevice::UpdateVersion: CMDID(0x0000) Success
2024/06/09 16:21:23.473 => GetVersion Return: v1.4.4_32772.0
2024/06/09 16:21:24.278 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/06/09 16:21:24.278 => protocol version = 1, send_recv buffer size = 64
2024/06/09 16:21:24.435 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/06/09 16:21:24.435 => protocol version = 1, send_recv buffer size = 64
2024/06/09 16:21:24.981 => CRadarProtocolDevice::SendCommand: CMDID(0x0062) Success
2024/06/09 16:21:24.987 => CRadarProtocolDevice::CloseCmdMode: CMDID(0x00FE) Success
2024/06/09 16:21:24.995 => thread create success, thread handle=0x00000624, id=4320, name=ABDData
2024/06/09 16:21:24.995 => thread information, name=ABDData, tid=4320(0x000010e0)
2024/06/09 16:21:25.066 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/09 16:21:25.165 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/09 16:21:25.265 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/09 16:21:25.365 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/09 16:21:25.465 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/09 16:21:25.565 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/09 16:21:25.665 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/09 16:21:25.765 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/09 16:21:25.865 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/09 16:21:25.965 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/09 16:21:26.065 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/09 16:21:26.165 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/09 16:21:26.265 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/09 16:21:26.365 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/09 16:21:26.465 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/09 16:21:26.565 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
