2024/06/11 13:02:31.527 => OpenSerial: Com=11 BaudRate=256000, Success=1
2024/06/11 13:02:31.534 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/06/11 13:02:31.534 => protocol version = 1, send_recv buffer size = 64
2024/06/11 13:02:31.685 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/06/11 13:02:31.685 => protocol version = 1, send_recv buffer size = 64
2024/06/11 13:02:31.694 => CRadarProtocolDevice::UpdateVersion: CMDID(0x0000) Success
2024/06/11 13:02:31.694 => GetVersion Return: v1.4.4_32772.0
2024/06/11 13:02:32.547 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/06/11 13:02:32.547 => protocol version = 1, send_recv buffer size = 64
2024/06/11 13:02:32.706 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/06/11 13:02:32.706 => protocol version = 1, send_recv buffer size = 64
2024/06/11 13:02:33.245 => CRadarProtocolDevice::SendCommand: CMDID(0x0062) Success
2024/06/11 13:02:33.251 => CRadarProtocolDevice::CloseCmdMode: CMDID(0x00FE) Success
2024/06/11 13:02:33.261 => thread create success, thread handle=0x00000624, id=18044, name=ABDData
2024/06/11 13:02:33.262 => thread information, name=ABDData, tid=18044(0x0000467c)
2024/06/11 13:02:33.292 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:33.390 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:33.492 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:33.591 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:33.692 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:33.792 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:33.891 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:33.992 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:34.092 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:34.190 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:34.291 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:34.392 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:34.491 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:34.590 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:34.691 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
