2024/06/12 16:00:08.437 => Open \\.\COM7 failed:5
2024/06/12 16:00:08.437 => OpenSerial: Com=7 BaudRate=256000, Success=0
2024/06/12 16:00:11.565 => OpenSerial: Com=11 BaudRate=256000, Success=1
2024/06/12 16:00:13.614 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) failed with:A001
2024/06/12 16:00:15.671 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) failed with:A001
2024/06/12 16:00:17.873 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) failed with:A001
2024/06/12 16:00:19.928 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) failed with:A001
2024/06/12 16:01:04.726 => Cancel Read Data
2024/06/12 16:01:09.290 => OpenSerial: Com=11 BaudRate=256000, Success=1
2024/06/12 16:01:11.290 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) failed with:A001
2024/06/12 16:01:13.919 => Open \\.\COM7 failed:5
2024/06/12 16:01:13.919 => OpenSerial: Com=7 BaudRate=256000, Success=0
2024/06/12 16:01:32.031 => OpenSerial: Com=11 BaudRate=256000, Success=1
2024/06/12 16:01:34.032 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) failed with:A001
2024/06/12 16:01:48.208 => OpenSerial: Com=11 BaudRate=256000, Success=1
2024/06/12 16:01:48.210 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) failed with:A002
2024/06/12 16:01:48.210 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) failed with:A002
2024/06/12 16:01:48.369 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/06/12 16:01:48.369 => protocol version = 1, send_recv buffer size = 64
2024/06/12 16:01:48.376 => CRadarProtocolDevice::UpdateVersion: CMDID(0x0000) Success
2024/06/12 16:01:48.376 => GetVersion Return: v1.4.4_32772.0
2024/06/12 16:01:49.504 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/06/12 16:01:49.504 => protocol version = 1, send_recv buffer size = 64
2024/06/12 16:01:49.667 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/06/12 16:01:49.667 => protocol version = 1, send_recv buffer size = 64
2024/06/12 16:01:50.209 => CRadarProtocolDevice::SendCommand: CMDID(0x0062) Success
2024/06/12 16:01:50.215 => CRadarProtocolDevice::CloseCmdMode: CMDID(0x00FE) Success
2024/06/12 16:01:50.225 => thread create success, thread handle=0x00000678, id=18376, name=ABDData
2024/06/12 16:01:50.225 => thread information, name=ABDData, tid=18376(0x000047c8)
2024/06/12 16:01:50.312 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:50.412 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:50.512 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:50.611 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:50.711 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:50.811 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:50.911 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:51.012 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:51.112 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:51.212 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:51.312 => State=1, M_D=030, M_S=076, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:51.412 => State=2, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:51.512 => State=2, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:51.612 => State=2, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:51.712 => State=2, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:51.812 => State=2, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:51.912 => State=2, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:52.012 => State=2, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:52.112 => State=2, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:52.212 => State=2, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:52.312 => State=2, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:52.411 => State=2, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:52.512 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:52.612 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:52.711 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:52.811 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:52.911 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:53.011 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:53.111 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:53.212 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:53.311 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:53.411 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:53.511 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:53.611 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:53.712 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:53.811 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:53.911 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:54.010 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:54.111 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:54.211 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:54.311 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:54.412 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:54.511 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:54.611 => State=1, M_D=030, M_S=069, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:54.712 => State=2, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:54.811 => State=1, M_D=030, M_S=086, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:54.911 => State=1, M_D=030, M_S=090, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:55.011 => State=1, M_D=030, M_S=083, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:55.111 => State=1, M_D=030, M_S=071, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:55.211 => State=2, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:55.311 => State=1, M_D=030, M_S=084, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:55.411 => State=2, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:55.511 => State=2, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:55.611 => State=2, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:55.711 => State=2, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:55.811 => State=2, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:55.911 => State=2, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:56.011 => State=2, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:56.110 => State=2, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:56.211 => State=2, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:56.311 => State=2, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:56.411 => State=2, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:56.511 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:56.611 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:56.711 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:56.811 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:56.911 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:57.011 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:57.111 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:57.211 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:57.311 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:57.411 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:57.511 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:57.610 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:57.710 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:57.811 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:57.910 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:58.011 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:58.110 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:58.211 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:58.311 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:58.411 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:58.511 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:58.611 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:58.711 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:58.811 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:58.911 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:59.011 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:59.111 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:59.211 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:59.311 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/12 16:01:59.411 => State=0, M_D=030, M_S=000, ML_D=000, ML_S=000, R_D=000
