2024/06/17 09:13:57.660 => OpenSerial: Com=9 BaudRate=256000, Success=1
2024/06/17 09:13:57.667 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/06/17 09:13:57.667 => protocol version = 1, send_recv buffer size = 64
2024/06/17 09:13:57.820 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/06/17 09:13:57.820 => protocol version = 1, send_recv buffer size = 64
2024/06/17 09:13:57.826 => CRadarProtocolDevice::UpdateVersion: CMDID(0x0000) Success
2024/06/17 09:13:57.826 => GetVersion Return: v1.4.4_32772.0
2024/06/17 09:14:02.570 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/06/17 09:14:02.570 => protocol version = 1, send_recv buffer size = 64
2024/06/17 09:14:02.731 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/06/17 09:14:02.731 => protocol version = 1, send_recv buffer size = 64
2024/06/17 09:14:03.281 => CRadarProtocolDevice::SendCommand: CMDID(0x0062) Success
2024/06/17 09:14:03.287 => CRadarProtocolDevice::CloseCmdMode: CMDID(0x00FE) Success
2024/06/17 09:14:03.298 => thread create success, thread handle=0x00000638, id=10984, name=ABDData
2024/06/17 09:14:03.298 => thread information, name=ABDData, tid=10984(0x00002ae8)
2024/06/17 09:14:03.344 => State=1, M_D=066, M_S=069, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:03.443 => State=2, M_D=066, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:03.543 => State=1, M_D=067, M_S=071, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:03.643 => State=2, M_D=067, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:03.744 => State=1, M_D=065, M_S=064, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:03.843 => State=2, M_D=065, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:03.943 => State=2, M_D=065, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:04.043 => State=1, M_D=065, M_S=061, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:04.143 => State=2, M_D=065, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:04.243 => State=1, M_D=065, M_S=069, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:04.343 => State=2, M_D=065, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:04.443 => State=1, M_D=066, M_S=067, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:04.544 => State=2, M_D=066, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/17 09:14:04.643 => State=1, M_D=061, M_S=062, ML_D=000, ML_S=000, R_D=000
